Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2002,43.29385967
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2003,42.07036951
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2004,39.8829674
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2005,40.75528149
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2006,39.37165952
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2007,35.76730952
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2008,28.32949849
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2009,28.73969482
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2010,23.48291751
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2011,29.2780424
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2012,28.1954878
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2013,27.99904093
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2014,21.03352897
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2015,22.95540651
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2016,27.67429295
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2017,27.58365545
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2018,23.69436284
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2019,17.74664818
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2020,14.84657971
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1990,47.59807441
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1991,44.67195207
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1992,42.07839564
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1993,42.1017225
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1994,41.33060509
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1995,36.16969608
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1996,36.84240002
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1997,38.49735277
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1998,32.13462683
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,1999,32.57723256
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2000,33.6379809
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2001,41.68925876
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2002,35.78736082
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2003,34.53993244
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2004,32.74085535
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2005,33.67522129
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2006,32.44663028
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2007,29.43760121
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2008,22.86177043
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2009,24.09370331
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2010,20.01129518
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2011,24.84453663
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2012,24.26744385
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2013,24.12916869
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2014,17.99057236
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2015,19.67860894
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2016,23.79760326
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2017,23.67645096
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2018,20.36876624
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2019,15.08562694
A.  ENorthern Territoryeric fermeNorthern Territoryation,Australian Capital Territory,Australian Capital Territory,2020,12.54418825
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1990,3.208451648
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1991,2.990828619
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1992,2.842213932
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1993,2.920917193
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1994,2.862282436
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1995,2.774025976
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1996,2.63351312
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1997,2.71358497
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1998,2.130641093
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,1999,2.138447181
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2000,2.247245216
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2001,2.674651566
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2002,2.63419073
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2003,2.503141678
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2004,2.382836042
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2005,2.487766807
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2006,2.430565346
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2007,2.321573383
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2008,1.889876684
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2009,1.758015258
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2010,1.219015035
B.  Manure managemeNorthern Territory,Australian Capital Territory,Australian Capital Territory,2011,1.676226836
